"namespace","tripleCount"
"https://growgraph.dev/fca/appeal/fca--22-81--618","43"
"https://growgraph.dev/fca/appeal/fca--22-82--055","43"
"https://growgraph.dev/fca/appeal/fca--22-82--599","43"
"https://growgraph.dev/fca/appeal/fca--22-83--605","43"
"https://growgraph.dev/fca/appeal/fca--22-83--696","43"
"https://growgraph.dev/fca/appeal/fca--22-84--069","43"
"https://growgraph.dev/fca/appeal/fca--22-84--405","43"
"https://growgraph.dev/fca/appeal/fca--22-84--552","43"
"https://growgraph.dev/fca/appeal/fca--22-84--665","43"
"https://growgraph.dev/fca/appeal/fca--22-84--748","43"
"https://growgraph.dev/fca/appeal/fca--22-84--921","43"
"https://growgraph.dev/fca/appeal/fca--22-85--067","43"
"https://growgraph.dev/fca/appeal/fca--22-85--628","43"
"https://growgraph.dev/fca/appeal/fca--22-85--797","43"
"https://growgraph.dev/fca/appeal/fca--22-85--812","43"
"https://growgraph.dev/fca/appeal/fca--22-86--271","43"
"https://growgraph.dev/fca/appeal/fca--22-86--279","43"
"https://growgraph.dev/fca/appeal/fca--22-86--471","43"
"https://growgraph.dev/fca/appeal/fca--22-86--485","43"
"https://growgraph.dev/fca/appeal/fca--22-87--600","43"
"https://growgraph.dev/fca/appeal/fca--23-80--030","43"
"https://growgraph.dev/fca/appeal/fca--23-80--119","43"
"https://growgraph.dev/fca/appeal/fca--23-80--449","43"
"https://growgraph.dev/fca/appeal/fca--23-80--931","43"
"https://growgraph.dev/fca/appeal/fca--23-81--293","43"
"https://growgraph.dev/fca/appeal/fca--23-81--670","43"
"https://growgraph.dev/fca/appeal/fca--23-82--116","43"
"https://growgraph.dev/fca/appeal/fca--23-82--769","43"
"https://growgraph.dev/fca/appeal/fca--23-83--419","43"
"https://growgraph.dev/fca/appeal/fca--23-84--778","43"
"https://growgraph.dev/fca/appeal/fca--23-86--577","43"
"https://growgraph.dev/fca/appeal/fca--23-90--007","43"
"https://growgraph.dev/fca/appeal/fca--19-86--265","42"
"https://growgraph.dev/fca/appeal/fca--21-82--111","42"
"https://growgraph.dev/fca/appeal/fca--21-86--068","42"
"https://growgraph.dev/fca/appeal/fca--21-86--350","42"
"https://growgraph.dev/fca/appeal/fca--22-80--879","42"
"https://growgraph.dev/fca/appeal/fca--22-82--192","42"
"https://growgraph.dev/fca/appeal/fca--22-82--994","42"
"https://growgraph.dev/fca/appeal/fca--22-83--079","42"
"https://growgraph.dev/fca/appeal/fca--22-83--080","42"
"https://growgraph.dev/fca/appeal/fca--22-83--160","42"
"https://growgraph.dev/fca/appeal/fca--22-83--734","42"
"https://growgraph.dev/fca/appeal/fca--22-83--832","42"
"https://growgraph.dev/fca/appeal/fca--22-83--954","42"
"https://growgraph.dev/fca/appeal/fca--22-84--782","42"
"https://growgraph.dev/fca/appeal/fca--22-85--694","42"
"https://growgraph.dev/fca/appeal/fca--22-86--078","42"
"https://growgraph.dev/fca/appeal/fca--22-86--145","42"
"https://growgraph.dev/fca/appeal/fca--22-87--221","42"
"https://growgraph.dev/fca/appeal/fca--22-87--399","42"
